Vertices,Density,CSR w/o MKL,CSR w/ MKL
65536,3,13385,11063.6
131072,0.1,3120.8,1870.3
131072,0.2,4941.6,3095.9
131072,0.3,6704.6,5434.6
131072,0.4,8138.9,6110.1
131072,0.5,9811.1,7581.1
131072,0.6,11155.2,9074.3
131072,0.7,13085.3,10531.1
131072,0.8,14488.9,12026.2
131072,0.9,16096.5,13554.4
131072,1,17795.3,15060.9
131072,1.1,19544.2,16495.4
131072,1.2,21195.9,17942.4
131072,1.3,22109.5,19333.1
131072,1.4,23950.5,20816.9
131072,1.5,25987.1,22396.3
131072,1.6,27418.3,23852.2
131072,1.7,29008.5,25273.3
131072,1.8,30786.3,26793
131072,1.9,31932.2,28115.2
131072,2,33616.7,29552.3
131072,2.1,35112,31009.1
131072,2.2,36729.7,32535.7
131072,2.3,38115.7,33860
131072,2.4,39873.5,35307.9
131072,2.5,41364.5,36796.2
131072,2.6,42729.8,38180.1
131072,2.7,44503,39728
131072,2.8,46035.4,41282.3
131072,2.9,48133.7,43189.2
131072,3,48837.6,44068.5
